City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Manaure,11.78,-72.44,83.5,70,94,18.63,CO,2020-05-06 00:25:09
1,Barrow,71.29,-156.79,17.6,78,1,9.17,US,2020-05-06 00:25:09
2,Laguna,38.42,-121.42,82.4,28,1,11.41,US,2020-05-06 00:21:38
3,Kasongo-Lunda,-6.47,16.82,70.99,89,97,1.14,CD,2020-05-06 00:25:10
4,Cape Town,-33.93,18.42,63.0,88,86,10.29,ZA,2020-05-06 00:23:18
5,Mataura,-46.19,168.86,53.26,69,84,7.4,NZ,2020-05-06 00:25:10
6,Ouadda,8.08,22.4,72.01,87,78,3.69,CF,2020-05-06 00:25:10
7,Fort Dix,40.03,-74.62,55.4,43,90,5.12,US,2020-05-06 00:25:11
8,Cockburn Town,21.46,-71.14,79.81,82,0,15.73,TC,2020-05-06 00:20:43
9,Caravelas,-17.71,-39.25,72.21,77,17,4.63,BR,2020-05-06 00:25:11
10,Butaritari,3.07,172.79,83.08,80,9,11.39,KI,2020-05-06 00:25:11
11,Puerto Ayora,-0.74,-90.35,78.8,83,40,12.75,EC,2020-05-06 00:25:11
12,Jvari,42.72,42.05,55.35,74,100,3.06,GE,2020-05-06 00:25:11
13,Rikitea,-23.12,-134.97,73.17,67,100,10.67,PF,2020-05-06 00:25:11
14,Hilo,19.73,-155.09,82.4,54,90,10.29,US,2020-05-06 00:25:11
15,Yeniseysk,58.45,92.17,36.7,85,96,10.71,RU,2020-05-06 00:25:11
16,Pevek,69.7,170.31,20.44,88,25,2.98,RU,2020-05-06 00:25:12
17,Krasnyy Yar,46.53,48.35,62.6,72,99,6.71,RU,2020-05-06 00:25:12
18,Ushuaia,-54.8,-68.3,39.2,64,98,6.93,AR,2020-05-06 00:22:54
19,Richards Bay,-28.78,32.04,65.61,81,29,7.61,ZA,2020-05-06 00:25:13
20,Sao Felix Do Xingu,-6.64,-51.99,75.33,90,92,2.04,BR,2020-05-06 00:25:13
21,Tasiilaq,65.61,-37.64,32.0,87,53,1.12,GL,2020-05-06 00:21:21
22,Los Lunas,34.81,-106.73,80.6,13,1,3.36,US,2020-05-06 00:25:13
23,Mar Del Plata,-38.0,-57.56,54.0,76,90,11.41,AR,2020-05-06 00:25:13
24,Kaitangata,-46.28,169.85,55.99,62,93,21.99,NZ,2020-05-06 00:25:13
25,Hobart,-42.88,147.33,59.0,58,75,17.22,AU,2020-05-06 00:22:35
26,Atambua,-9.11,124.89,80.06,77,32,2.62,ID,2020-05-06 00:24:03
27,Yellowknife,62.46,-114.35,46.4,39,20,12.75,CA,2020-05-06 00:25:14
28,Bertoua,4.58,13.68,70.66,95,47,3.49,CM,2020-05-06 00:25:14
29,Nanortalik,60.14,-45.24,40.59,78,98,11.54,GL,2020-05-06 00:25:14
